,0,1,2,3,4,5,6,7,8,9
Tox3,-0.04863205,-0.012823849,0.022578528,0.029675,-0.013461119,-0.042820353,-0.030136662,-0.002660214,-0.009630909,0.031392705
Necab1,-0.005651432,0.042753067,0.044243593,0.006999349,-0.0038206943,0.0011082786,0.006656835,-0.03414755,0.0024930104,0.008240819
Igsf11,-0.009636069,0.074946694,0.032427203,0.06741695,0.0031895093,0.006834484,-0.010153436,0.06950189,0.10089097,0.0062005455
Cntnap3,0.015391702,0.02475064,0.02244074,0.029982345,-0.054718595,-0.024514345,-0.04353021,-0.020475604,0.032117944,-0.020028321
Chsy3,-0.059987273,-0.040563345,0.032687467,-0.012608055,0.026062256,0.024175113,-0.009683707,-0.05027033,0.051315892,0.019069474
Neto2,0.015333289,0.05323544,0.06944265,0.072509326,-0.05807704,-0.054988373,0.009296353,-0.026119184,-0.0043800864,-0.04524436
Grm8,0.040360127,-0.036148354,0.050177082,0.023823557,-0.04429676,0.010368315,0.008351263,0.0042774524,0.04402993,0.009471837
Slc4a4,0.01349097,0.004604186,0.0031271442,0.006292931,-0.011489625,0.02214016,-0.037822016,-0.033325486,-0.022871155,0.008644774
Kcnmb2,-0.03694173,-0.031113958,0.036582083,-0.036766764,0.0035561484,0.0217107,0.020042729,-0.044324517,0.0335773,0.048940923
Tmem108,-0.049260564,0.004482019,-0.016661162,0.016474806,0.11115369,-0.005961558,-0.07705496,-0.019002018,0.076293394,0.021770554
Lrp1b,-0.05884876,-0.079819486,0.025266994,-0.0044832183,0.023215013,-0.029190555,-0.09835751,-0.045192108,0.052828155,0.016832601
Eif2s3y,0.017790565,-0.020802101,0.02420055,-0.00052903633,-0.04454229,-0.030019678,-0.05397051,-0.045037366,0.009882181,-0.00088911667
Cacna1e,-0.003480285,0.013584129,0.004095616,0.029947463,-0.0024273188,-0.005256153,0.005408701,-0.028181747,0.02262714,-0.005656102
Lypd6,-0.015809022,0.003379064,0.024875503,0.0062205675,-0.0057129967,0.014352415,0.016286084,-0.022239318,0.018004376,0.020361932
Tmem132d,-0.012347617,0.030434413,-0.009781874,-0.015791763,-0.031874917,-0.01650513,-0.007064937,-0.009652452,0.0070840986,0.050136637
Gabrd,-0.0068422244,0.006733982,0.009568612,0.011522233,0.014298632,0.0013296063,-0.022754453,-0.029977474,0.00080810126,0.016566264
Cntn4,-0.0593717,0.001097344,0.091091186,-0.044325795,-0.01241462,0.03795004,0.07185114,-0.034454923,0.029721634,0.06070027
Ntrk3,-0.00048174625,0.031994045,0.038466323,0.02678962,-0.015076749,-0.038987596,-0.023620708,-0.041016016,-0.002392356,-0.009223927
Sgcd,-0.007360747,-0.0023026315,0.0045871767,0.018435922,-0.0012211686,-0.010993914,-0.014674729,-0.025197115,0.006643404,0.0128749935
Prkcg,0.032633524,-0.015596443,0.08919037,0.010864946,-0.023880638,0.011916316,0.033775087,-0.010204881,0.06664323,0.009702306
Rgs10,-0.013987775,0.011160892,0.0031785762,-0.02506223,-0.030575892,-0.018308006,0.013037985,-0.022641696,0.014395172,0.05191592
Spon1,0.02149846,-0.022632137,0.03943211,0.007587599,-0.019558452,-0.029987529,-0.046482638,-0.030445132,0.013355547,0.009354045
Fam107a,-0.014049296,0.04504544,-0.063173585,-0.07538354,-0.08039454,-0.056238208,0.008927921,0.021655941,0.034262866,0.121963456
